Player,bat_Span,bat_Mat,bat_Inns,bat_NO,bat_Runs,bat_HS,bat_Ave,bat_BF,bat_SR,bat_100,bat_50,bat_0,bat_,bowl_Span,bowl_Mat,bowl_Inns,bowl_Balls,bowl_Runs,bowl_Wkts,bowl_BBI,bowl_Ave,bowl_Econ,bowl_SR,bowl_4,bowl_5,bowl_
A Balbirnie,,117.0,110.0,8.0,3264.0,,32.0,4396.0,74.24,9.0,17.0,8.0,,,,,,,0.0,,,,,,,
A Flintoff,,141.0,122.0,16.0,3394.0,123.0,32.01,3821.0,88.82,3.0,18.0,9.0,,,141.0,119.0,5624.0,4121.0,169.0,,24.38,4.39,33.2,6.0,2.0,
A Flower,,213.0,208.0,16.0,6786.0,145.0,35.34,9097.0,74.59,4.0,55.0,13.0,,,,,,,0.0,,,,,,,
A Jadeja,,196.0,179.0,36.0,5359.0,119.0,37.47,7678.0,69.79,6.0,30.0,10.0,,,,,,,0.0,,,,,,,
A Kumble,,,,,,,,,,0.0,0.0,0.0,,,271.0,265.0,14496.0,10412.0,337.0,,30.89,4.3,43.0,8.0,2.0,
A Nehra,,,,,,,,,,0.0,0.0,0.0,,,120.0,120.0,5751.0,4981.0,157.0,,31.72,5.19,36.6,5.0,2.0,
A Nel,,,,,,,,,,0.0,0.0,0.0,,,79.0,76.0,3801.0,2935.0,106.0,,27.68,4.63,35.8,3.0,1.0,
A Ranatunga,,269.0,255.0,47.0,7456.0,,35.84,9571.0,77.9,4.0,49.0,18.0,,,269.0,135.0,4710.0,3757.0,79.0,,47.55,4.78,59.6,1.0,0.0,
A Symonds,,198.0,161.0,33.0,5088.0,156.0,39.75,5504.0,92.44,6.0,30.0,15.0,,,198.0,158.0,5935.0,4955.0,133.0,,37.25,5.0,44.6,2.0,1.0,
A Zampa,,,,,,,,,,0.0,0.0,0.0,,,121.0,121.0,6309.0,5809.0,198.0,,29.33,5.52,31.8,12.0,1.0,
AA Donald,,,,,,,,,,0.0,0.0,0.0,,,164.0,162.0,8561.0,5926.0,272.0,,21.78,4.15,31.4,11.0,2.0,
AB Agarkar,,,,,,,,,,0.0,0.0,0.0,,,191.0,188.0,9484.0,8021.0,288.0,,27.85,5.07,32.9,10.0,2.0,
AB de Villiers,,228.0,218.0,39.0,9577.0,176.0,53.5,9473.0,101.09,25.0,53.0,7.0,,,,,,,0.0,,,,,,,
AC Cummins,,,,,,,,,,0.0,0.0,0.0,,,76.0,74.0,3767.0,2877.0,91.0,,31.61,4.58,41.3,2.0,1.0,
AC Gilchrist,,287.0,279.0,11.0,9619.0,172.0,35.89,9922.0,96.94,16.0,55.0,19.0,,,,,,,0.0,,,,,,,
AC Hudson,,89.0,88.0,1.0,2559.0,161.0,29.41,3960.0,64.62,2.0,18.0,6.0,,,,,,,0.0,,,,,,,
AC Parore,,179.0,161.0,32.0,3314.0,108.0,25.68,4867.0,68.09,1.0,14.0,19.0,,,,,,,0.0,,,,,,,
AD Hales,,70.0,67.0,3.0,2419.0,171.0,37.79,2527.0,95.72,6.0,14.0,5.0,,,,,,,0.0,,,,,,,
